Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
45.008;2100;11;;124;;1;;4;3;;0.78125;;;;0.78125;1
45.008;2100;11;;124;;1;;3;3;;0.78125;;;;0.78125;1
45.008;2100;11;;58;;1;;4;3;;0.2625;;;;0.2625;1
45.008;2100;11;;58;;1;;3;3;;0.2625;;;;0.2625;1
45.008;2100;11;;231;;1;;4;3;;0.8575;;;;0.8575;1
45.008;2100;11;;231;;1;;3;3;;0.8575;;;;0.8575;1
45.008;2100;11;;107;;1;;4;3;;0.65625;;;;0.65625;1
45.008;2100;11;;107;;1;;3;3;;0.65625;;;;0.65625;1
45.008;2100;11;1;61;;1;;4;3;;0.525;;;;0.525;1
45.008;2100;11;1;61;;1;;3;3;;0.525;;;;0.525;1
45.008;2100;11;;236;;1;;4;3;0.15;0.7166666666666667;;0.15;0.15;0.6333333333333333;1
45.008;2100;11;;236;;1;;3;3;0.15;0.7166666666666667;;0.15;0.15;0.6333333333333333;1
45.008;2100;11;;35;;1;1;4;3;;0.9895833333333334;;;;0.9895833333333334;1
45.008;2100;11;;35;;1;1;3;3;;0.9895833333333334;;;;0.9895833333333334;1
45.008;2100;11;1;109;;1;;4;3;;;;;;;
45.008;2100;11;1;109;;1;;3;3;;;;;;;
45.008;2100;11;;30;;1;;4;3;;0.9375;;;;0.9375;1
45.008;2100;11;;30;;1;;3;3;;0.9375;;;;0.9375;1
45.008;2100;11;;41;;1;;4;3;;0.9375;;;;0.9375;1
45.008;2100;11;;41;;1;;3;3;;0.9375;;;;0.9375;1
45.008;2100;11;;119;;1;;4;3;;0.4166666666666667;;;;0.4166666666666667;1
45.008;2100;11;;119;;1;;3;3;;0.4166666666666667;;;;0.4166666666666667;1
45.008;2100;11;;60;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;60;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;1;10;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;1;10;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;12;;1;;4;3;;0.7875;;;;0.7875;1
45.008;2100;11;;12;;1;;3;3;;0.7875;;;;0.7875;1
45.008;2100;11;;298;;1;;4;3;;0.56875;;;;0.56875;1
45.008;2100;11;;298;;1;;3;3;;0.56875;;;;0.56875;1
45.008;2100;11;;13;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;13;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;56;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;56;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;18;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;18;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;23;;1;;4;3;;0.625;;;;0.625;1
45.008;2100;11;;23;;1;;3;3;;0.625;;;;0.625;1
45.008;2100;11;;9;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;9;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;42;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;42;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;22;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;22;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;21;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;21;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;1;25;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;1;25;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;10;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;10;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;128;;1;;4;3;;0.4375;;;;0.4375;1
45.008;2100;11;;128;;1;;3;3;;0.4375;;;;0.4375;1
45.008;2100;11;2;28;;1;;4;3;;1.0;;;;1.0;1
45.008;2100;11;2;28;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;1;495;1;;;4;3;0.16927083333333334;0.7723148148148148;0.16791666666666666;;0.16791666666666666;0.5198842592592593;
45.008;2100;11;1;495;1;;;3;3;0.16927083333333334;0.7723148148148148;0.16791666666666666;;0.16791666666666666;0.5198842592592593;
45.008;2100;11;;89;1;;;4;3;;0.9625;;;;0.9625;1
45.008;2100;11;;89;1;;;3;3;;0.9625;;;;0.9625;1
45.008;2100;11;;74;;1;;4;3;;;;;;;
45.008;2100;11;;74;;1;;3;3;;;;;;;
45.008;2100;11;;61;;1;;4;3;;0.9375;;;;0.9375;1
45.008;2100;11;;61;;1;;3;3;;0.9375;;;;0.9375;1
45.008;2100;11;;53;;1;;4;3;;;;;;;
45.008;2100;11;;53;;1;;3;3;;;;;;;
45.008;2100;11;1;80;1;;;4;3;;0.2625;;;;0.2625;1
45.008;2100;11;1;80;1;;;3;3;;0.2625;;;;0.2625;1
45.008;2100;11;;14;;1;;4;3;;0.7875;;;;0.7875;1
45.008;2100;11;;14;;1;;3;3;;0.7875;;;;0.7875;1
45.008;2100;11;;28;;1;;4;3;;;;;;;
45.008;2100;11;;28;;1;;3;3;;;;;;;
45.008;2100;11;;15;1;;;4;3;;1.0;;;;1.0;1
45.008;2100;11;;15;1;;;3;3;;1.0;;;;1.0;1
45.008;2100;11;;32;;1;;4;3;;;;;;;
45.008;2100;11;;32;;1;;3;3;;;;;;;
45.008;2100;11;;4;;1;;4;3;;0.75;;;;0.75;1
45.008;2100;11;;4;;1;;3;3;;0.75;;;;0.75;1
45.008;2100;11;;69;1;;;4;3;;0.25;;;;0.25;1
45.008;2100;11;;69;1;;;3;3;;0.25;;;;0.25;1
45.008;2100;11;;33;;1;;4;3;;;;;;;
45.008;2100;11;;33;;1;;3;3;;;;;;;
305.775;18000;37;10;138;;1;;2;3;;;;;;;
305.775;18000;37;10;138;;1;;3;2;;;;;;;
305.775;18000;37;54;64;;1;;2;3;;0.65625;;;;0.65625;1
305.775;18000;37;54;64;;1;;3;2;;0.65625;;;;0.65625;1
305.775;18000;37;110;261;;1;;2;3;;0.5265625;;;;0.5265625;1
305.775;18000;37;110;261;;1;;3;2;;0.5265625;;;;0.5265625;1
305.775;18000;37;24;391;;1;;2;3;0.412;0.518125;;;;0.21225;
305.775;18000;37;24;391;;1;;3;2;0.412;0.518125;;;;0.21225;
305.775;18000;37;33;93;1;;;2;3;;0.78125;;;;0.78125;1
305.775;18000;37;33;93;1;;;3;2;;0.78125;;;;0.78125;1
305.775;18000;37;41;359;1;;;2;3;;0.5229166666666667;;;;0.5229166666666667;1
305.775;18000;37;41;359;1;;;3;2;;0.5229166666666667;;;;0.5229166666666667;1
305.775;18000;37;1;703;;1;;2;3;0.22125;0.6774305555555555;0.15;;;0.5420138888888889;1
305.775;18000;37;1;703;;1;;3;2;0.22125;0.6774305555555555;0.15;;;0.5420138888888889;1
305.775;18000;37;2;154;;1;;2;3;;1.0;;;;1.0;1
305.775;18000;37;2;154;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;;288;;1;;2;3;;0.9364583333333333;;;;0.9364583333333333;1
305.775;18000;37;;288;;1;;3;2;;0.9364583333333333;;;;0.9364583333333333;1
305.775;18000;37;3;337;;1;;2;3;0.78;0.3705;;;1.0;-0.5525;
305.775;18000;37;3;337;;1;;3;2;0.78;0.3705;;;1.0;-0.5525;
305.775;18000;37;;118;;1;;2;3;;1.0;;;;1.0;1
305.775;18000;37;;118;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;14;45;;1;;2;3;;0.775;;;;0.775;1
305.775;18000;37;14;45;;1;;3;2;;0.775;;;;0.775;1
305.775;18000;37;24;39;;1;;2;3;;0.2625;;;;0.2625;1
305.775;18000;37;24;39;;1;;3;2;;0.2625;;;;0.2625;1
305.775;18000;37;1;177;;1;;2;3;;0.6052083333333333;;;;0.6052083333333333;1
305.775;18000;37;1;177;;1;;3;2;;0.6052083333333333;;;;0.6052083333333333;1
305.775;18000;37;;80;;1;;2;3;;0.8833333333333333;;;;0.8833333333333333;1
305.775;18000;37;;80;;1;;3;2;;0.8833333333333333;;;;0.8833333333333333;1
305.775;18000;37;14;114;;1;;2;3;;0.49375;;;;0.49375;1
305.775;18000;37;14;114;;1;;3;2;;0.49375;;;;0.49375;1
305.775;18000;37;1;71;;1;;2;3;;0.459375;;;;0.459375;1
305.775;18000;37;1;71;;1;;3;2;;0.459375;;;;0.459375;1
305.775;18000;37;1;477;;1;;2;3;;0.2625;;;;0.2625;1
305.775;18000;37;1;477;;1;;3;2;;0.2625;;;;0.2625;1
305.775;18000;37;;81;;1;;2;3;;0.3875;;;;0.3875;1
305.775;18000;37;;81;;1;;3;2;;0.3875;;;;0.3875;1
305.775;18000;37;;1187;1;;;2;3;;0.495625;;;;0.495625;1
305.775;18000;37;;1187;1;;;3;2;;0.495625;;;;0.495625;1
305.775;18000;37;;93;;1;;2;3;;0.525;;;;0.525;1
305.775;18000;37;;93;;1;;3;2;;0.525;;;;0.525;1
305.775;18000;37;5;34;;1;;2;3;;0.625;;;;0.625;1
305.775;18000;37;5;34;;1;;3;2;;0.625;;;;0.625;1
305.775;18000;37;;58;;1;;2;3;;0.875;;;;0.875;1
305.775;18000;37;;58;;1;;3;2;;0.875;;;;0.875;1
305.775;18000;37;;46;;1;;2;3;;0.7875;;;;0.7875;1
305.775;18000;37;;46;;1;;3;2;;0.7875;;;;0.7875;1
305.775;18000;37;1;135;;1;;2;3;;1.0;;;;1.0;1
