16/05/2021,06:00,Bel Abbes U21, Bordj Bou Arreridj U21, 1, 1, 2.81,3.25,2.33,
16/05/2021,06:00,Constantine U21, Paradou U21, 0, 0, 1.70,3.66,4.20,
16/05/2021,06:00,Hussein Dey U21, Biskra U21, 4, 2, 2.23,3.25,2.91,
16/05/2021,06:00,Magra U21, Mlila U21, 2, 0, 1.53,3.64,6.37,
16/05/2021,06:00,RC Relizane U21, ES Setif U21, 0, 2, 6.48,3.69,1.50,
16/05/2021,06:00,Tlemcen U21, ASO Chlef U21, 1, 0, 2.16,3.27,2.98,
16/05/2021,06:00,USM Alger U21, Saoura U21, 1, 0, 4.52,3.77,1.62,
11/05/2021,12:00,Kabylie U21, Oran U21, 1, 0, 1.88,3.21,3.96,
04/05/2021,12:00,ASO Chlef U21, Magra U21, 3, 4, 1.86,3.47,3.66,
04/05/2021,12:00,Bordj Bou Arreridj U21, Kabylie U21, 4, 3, 4.97,3.68,1.61,
04/05/2021,12:00,CR Belouizdad U21, Mlila U21, 3, 1, 1.22,5.51,11.18,
04/05/2021,12:00,ES Setif U21, USM Alger U21, 2, 0, 1.62,3.56,5.04,
04/05/2021,12:00,MC Alger U21, Bel Abbes U21, 5, 1, 1.28,5.02,8.75,
04/05/2021,12:00,Oran U21, Hussein Dey U21, 4, 0, 1.62,3.61,4.89,
04/05/2021,12:00,Saoura U21, Medea U21, 2, 0, 1.46,4.06,6.04,
04/05/2021,12:00,Tlemcen U21, Constantine U21, 0, 1, 5.10,3.23,1.68,
03/05/2021,12:00,Paradou U21, RC Relizane U21, 1, 0, 1.19,5.98,11.74,
03/05/2021,12:00,Skikda U21, Biskra U21, 1, 1, 4.01,3.17,1.85,
30/04/2021,12:00,MC Alger U21, Magra U21, 4, 0, 2.12,3.46,2.90,
29/04/2021,12:00,CR Belouizdad U21, USM Alger U21, 2, 0, 1.58,3.58,5.45,
25/04/2021,12:00,Bordj Bou Arreridj U21, MC Alger U21, 5, 4, 3.48,3.29,1.98,
25/04/2021,12:00,CR Belouizdad U21, Saoura U21, 1, 1, 1.93,3.30,3.80,
24/04/2021,12:00,Skikda U21, ES Setif U21, 0, 0, 6.20,4.80,1.39,
15/04/2021,10:00,Skikda U21, MC Alger U21, 0, 3, 3.64,3.27,2.04,
10/04/2021,06:00,Bel Abbes U21, Kabylie U21, 2, 0, 7.61,4.28,1.38,
10/04/2021,06:00,Bordj Bou Arreridj U21, CR Belouizdad U21, 0, 1, 3.69,3.42,1.89,
03/04/2021,06:00,ES Setif U21, Kabylie U21, 0, 1, 2.18,3.10,3.14,
02/04/2021,06:00,Magra U21, CR Belouizdad U21, 0, 1, 2.78,3.40,2.23,
17/03/2021,06:00,ASO Chlef U21, Biskra U21, 3, 1, 1.81,3.63,3.72,
17/03/2021,06:00,Oran U21, Mlila U21, 1, 0, 1.39,4.50,6.30,
17/03/2021,06:00,Tlemcen U21, Hussein Dey U21, 1, 2, 1.74,3.62,4.09,
16/03/2021,06:00,RC Relizane U21, Medea U21, 1, 5, 2.87,3.22,2.35,
13/03/2021,06:00,Hussein Dey U21, Paradou U21, 0, 1, 5.64,3.88,1.51,
13/03/2021,06:00,Magra U21, Skikda U21, 1, 0, 1.61,3.74,4.87,
13/03/2021,06:00,Mlila U21, Biskra U21, 2, 0, 2.86,3.32,2.25,
13/03/2021,06:00,Oran U21, Bordj Bou Arreridj U21, 2, 3, 1.40,4.33,6.40,
13/03/2021,06:00,USM Alger U21, ASO Chlef U21, 2, 1, 1.69,3.62,4.22,
12/03/2021,06:00,Constantine U21, RC Relizane U21, 2, 0, 1.29,4.54,10.00,
12/03/2021,06:00,MC Alger U21, CR Belouizdad U21, 1, 1, 2.28,3.38,2.75,
12/03/2021,06:00,Medea U21, Bel Abbes U21, 2, 0, 1.58,3.86,4.90,
12/03/2021,06:00,Saoura U21, Tlemcen U21, 4, 1, 1.44,3.98,6.86,
08/03/2021,06:00,CR Belouizdad U21, Constantine U21, 0, 1, 2.50,3.22,2.56,
06/03/2021,06:00,ASO Chlef U21, Mlila U21, 3, 1, 1.44,3.96,6.18,
06/03/2021,06:00,Paradou U21, USM Alger U21, 2, 0, 1.66,3.56,4.39,
06/03/2021,06:00,Skikda U21, Oran U21, 0, 1, 3.67,3.56,1.80,
05/03/2021,06:00,Biskra U21, ES Setif U21, 1, 1, 3.01,3.54,2.02,
05/03/2021,06:00,Constantine U21, Hussein Dey U21, 2, 0, 1.41,3.79,7.34,
05/03/2021,06:00,Kabylie U21, Medea U21, 2, 1, 1.36,4.32,7.05,
05/03/2021,06:00,RC Relizane U21, Bel Abbes U21, 3, 1, 1.70,3.82,3.89,
05/03/2021,06:00,Tlemcen U21, Magra U21, 1, 0, 1.88,3.45,3.53,
27/02/2021,06:00,ES Setif U21, ASO Chlef U21, 0, 1, 1.21,5.57,10.78,
27/02/2021,06:00,MC Alger U21, Kabylie U21, 1, 3, 2.26,3.00,3.15,
27/02/2021,06:00,Mlila U21, Tlemcen U21, 1, 0, 3.25,3.36,2.03,
27/02/2021,06:00,Oran U21, Paradou U21, 1, 1, 2.95,3.47,2.13,
26/02/2021,06:00,Bel Abbes U21, Skikda U21, 0, 0, 2.35,3.23,2.74,
26/02/2021,06:00,Hussein Dey U21, RC Relizane U21, 2, 0, 1.72,3.36,4.51,
26/02/2021,06:00,Medea U21, Constantine U21, 0, 1, 2.81,3.02,2.43,
26/02/2021,06:00,Saoura U21, Biskra U21, 4, 0, 1.49,3.99,5.78,
03/02/2021,06:00,Medea U21, CR Belouizdad U21, 1, 0, 2.76,3.23,2.34,
30/01/2021,06:00,Bel Abbes U21, USM Alger U21, 1, 1, 7.96,4.79,1.31,
30/01/2021,06:00,Bordj Bou Arreridj U21, Hussein Dey U21, 0, 1, 2.00,3.14,3.62,
30/01/2021,06:00,Constantine U21, Magra U21, 2, 0, 1.36,4.17,7.98,
30/01/2021,06:00,CR Belouizdad U21, ES Setif U21, 1, 2, 1.84,3.72,3.42,
30/01/2021,06:00,Kabylie U21, Skikda U21, 4, 1, 1.33,4.91,7.04,
30/01/2021,06:00,MC Alger U21, Biskra U21, 1, 0, 1.73,3.63,4.05,
30/01/2021,06:00,Medea U21, ASO Chlef U21, 1, 0, 2.50,3.21,2.58,
30/01/2021,06:00,Oran U21, Saoura U21, 1, 0, 2.39,3.39,2.60,
30/01/2021,06:00,Paradou U21, Mlila U21, 6, 1, 1.27,5.22,8.33,
26/01/2021,06:00,ASO Chlef U21, Paradou U21, 1, 0, 3.73,3.43,1.83,
26/01/2021,06:00,Biskra U21, Bordj Bou Arreridj U21, 1, 3, 1.60,3.78,4.65,
